Benchmark,Single Branch Accuracy,Miss Contrubution
602.gcc_s-734B.champsimtrace.xz,95.06%,22.74%,15.65%,15.57%,12.88%,12.71%,8.07%,7.82%,0.49%,0.41%,0.41%
631.deepsjeng_s-928B.champsimtrace.xz,87.13%,1.82%,1.23%,1.22%,1.20%,1.10%,0.94%,0.91%,0.91%,0.90%,0.90%
649.fotonik3d_s-1176B.champsimtrace.xz,99.97%,43.10%,41.38%,5.17%,1.72%,1.72%,1.72%,1.72%,1.72%,1.72%
657.xz_s-3167B.champsimtrace.xz,91.19%,27.06%,12.71%,10.61%,4.88%,4.07%,2.39%,2.33%,1.93%,1.76%,1.30%
621.wrf_s-575B.champsimtrace.xz,61.24%,34.75%,13.93%,11.61%,8.96%,7.06%,4.65%,4.29%,4.17%,2.50%,1.06%
603.bwaves_s-3699B.champsimtrace.xz,93.73%,42.95%,17.41%,5.76%,3.07%,2.86%,2.80%,1.78%,1.63%,1.62%,1.45%
607.cactuBSSN_s-2421B.champsimtrace.xz,99.40%,2.82%,2.35%,2.35%,2.12%,1.88%,1.88%,1.88%,1.65%,1.65%,1.65%
623.xalancbmk_s-700B.champsimtrace.xz,97.75%,16.80%,12.13%,4.28%,3.47%,3.01%,2.76%,2.69%,2.66%,2.14%,1.54%
619.lbm_s-4268B.champsimtrace.xz,88.50%,100.00%
627.cam4_s-573B.champsimtrace.xz,83.81%,7.48%,6.26%,5.09%,2.24%,1.94%,1.94%,1.89%,1.80%,1.59%,1.38%
600.perlbench_s-210B.champsimtrace.xz,63.15%,53.12%,11.83%,8.02%,4.18%,3.59%,2.67%,1.75%,1.07%,0.92%,0.91%
638.imagick_s-10316B.champsimtrace.xz,99.10%,98.33%,0.89%,0.32%,0.09%,0.09%,0.06%,0.06%,0.03%,0.03%,0.03%
644.nab_s-5853B.champsimtrace.xz,99.57%,19.97%,5.30%,4.84%,2.42%,1.66%,1.51%,1.36%,1.36%,1.36%,1.36%
628.pop2_s-17B.champsimtrace.xz,90.90%,6.65%,4.30%,1.35%,1.35%,1.31%,1.20%,0.99%,0.90%,0.86%,0.84%
641.leela_s-800B.champsimtrace.xz,73.45%,5.05%,2.79%,2.11%,1.99%,1.88%,1.82%,1.82%,1.72%,1.71%,1.67%
648.exchange2_s-1699B.champsimtrace.xz,90.59%,11.50%,10.85%,9.58%,9.21%,6.83%,4.88%,4.55%,4.46%,4.01%,3.74%
654.roms_s-842B.champsimtrace.xz,90.89%,17.04%,11.41%,11.35%,5.86%,5.82%,5.75%,5.72%,5.72%,5.72%,5.69%
620.omnetpp_s-874B.champsimtrace.xz,68.77%,27.85%,12.33%,7.97%,6.79%,5.12%,3.61%,3.51%,2.47%,2.35%,2.12%
605.mcf_s-665B.champsimtrace.xz,65.66%,44.03%,15.74%,11.85%,4.15%,3.60%,3.34%,2.23%,1.44%,1.31%,1.09%
625.x264_s-18B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
