Benchmark,Single Branch Accuracy,Miss Contrubution
602.gcc_s-734B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
631.deepsjeng_s-928B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
649.fotonik3d_s-1176B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
657.xz_s-3167B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
621.wrf_s-575B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
603.bwaves_s-3699B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
607.cactuBSSN_s-2421B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
623.xalancbmk_s-700B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
619.lbm_s-4268B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
627.cam4_s-573B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
600.perlbench_s-210B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
638.imagick_s-10316B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
644.nab_s-5853B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
628.pop2_s-17B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
641.leela_s-800B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
648.exchange2_s-1699B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
654.roms_s-842B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
620.omnetpp_s-874B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
605.mcf_s-665B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
625.x264_s-18B.champsimtrace.xz,87.52%,44.39%,12.10%,12.02%,8.79%,3.29%,2.94%,2.80%,1.83%,1.10%,0.97%
