perceptron,IPC,Accuracy
625.x264_s-18B.champsimtrace.xz,1.60374,95.7566%
620.omnetpp_s-874B.champsimtrace.xz,0.349666,96.3705%
648.exchange2_s-1699B.champsimtrace.xz,1.64188,93.2225%
623.xalancbmk_s-700B.champsimtrace.xz,0.68896,98.6669%
602.gcc_s-734B.champsimtrace.xz,0.592653,99.9282%
654.roms_s-842B.champsimtrace.xz,1.52798,98.224%
619.lbm_s-4268B.champsimtrace.xz,0.440731,97.1719%
649.fotonik3d_s-1176B.champsimtrace.xz,0.66929,99.9749%
638.imagick_s-10316B.champsimtrace.xz,2.36675,99.6976%
607.cactuBSSN_s-2421B.champsimtrace.xz,1.2243,99.6177%
657.xz_s-3167B.champsimtrace.xz,0.994796,93.0127%
600.perlbench_s-210B.champsimtrace.xz,1.30605,98.1194%
644.nab_s-5853B.champsimtrace.xz,1.18913,97.1004%
621.wrf_s-575B.champsimtrace.xz,1.07611,96.4297%
605.mcf_s-665B.champsimtrace.xz,0.391252,92.5328%
631.deepsjeng_s-928B.champsimtrace.xz,1.01455,93.1048%
627.cam4_s-573B.champsimtrace.xz,1.06627,97.4307%
641.leela_s-800B.champsimtrace.xz,0.796251,90.4084%
628.pop2_s-17B.champsimtrace.xz,1.18205,97.134%
603.bwaves_s-3699B.champsimtrace.xz,1.21094,88.6173%
